what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1372390975855
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1372390975872
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1372390975890
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1372390975900
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1372390975913
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1372390975931
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1372390975943
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1372390975943
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1372390975958
os,sysinfo,,,"win32",1372390975963
arch,sysinfo,,,"x86",1372390975963
ws,sysinfo,,,"win32",1372390975963
locale,sysinfo,,,"en_US",1372390975963
processors,sysinfo,,,"8",1372390975963
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1372390975963
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1372390975963
java.specification.name,sysinfo,,,"Java Platform API Specification",1372390975963
java.specification.vendor,sysinfo,,,"Oracle Corporation",1372390975963
java.specification.version,sysinfo,,,"1.7",1372390975963
java.vendor,sysinfo,,,"Oracle Corporation",1372390975963
java.version,sysinfo,,,"1.7.0_21",1372390975963
java.vm.info,sysinfo,,,"mixed mode, sharing",1372390975963
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1372390975963
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372390975963
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1372390975963
java.vm.specification.version,sysinfo,,,"1.7",1372390975963
java.vm.vendor,sysinfo,,,"Oracle Corporation",1372390975963
java.vm.version,sysinfo,,,"23.21-b01",1372390975963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372390993376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391036524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372391036545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372391036545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391043508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391065639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372391065682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391068725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391070934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391072290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391072447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391073388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391076595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391077532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391095233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391098832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391100255
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372391100383
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1372391101043
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1372391101056
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1372485272360
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1372485272363
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1372485272364
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1372485272366
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1372485272368
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1372485272369
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1372485272372
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1372485272373
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1372485272375
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1372485272376
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1372485272378
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1372485272379
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1372485272380
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1372485272381
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1372485272382
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1372485272384
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1372485272386
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1372485272387
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1372485272389
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1372485272391
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1372485272393
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1372485272394
