what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1372487140691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487143294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487144635
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372487148907
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1372487149278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487157480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487158635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487159388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487163564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487174158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487174224
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1372487174239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487174537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487175775
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372487181168
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372487183722
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372487184768
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372487185489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487190228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487191320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487197317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487198569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487199274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487439794
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372487442988
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372487446528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487489159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487497721
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372487499487
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372487505934
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372487506124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487511211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1372487511274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487523736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487537579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487545598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487545607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487546911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487546965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487548407
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487548722
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1372487549462
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1372487549463
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1372487549465
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1372487549467
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1372487549469
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1372487549470
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1372487549472
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1372487549473
